playlist_id,playlist_name,track_id
1000000,Party,66U0ASk1VHZsqIkpMjKX3B
1000000,Party,5MhsZlmKJG6X5kTHkdwC4B
1000000,Party,0GZoB8h0kqXn7XFm4Sj06k
1000000,Party,35kahykNu00FPysz3C2euR
1000000,Party,3G6hD9B2ZHOsgf4WfNu7X1
1000016,school,6WQLkih8nE0JdUCEyLaGnQ
1000016,school,37sINbJZcFdHFAsVNsPq1i
1000016,school,0yhPEz5KxlDwckGJaMlZqM
1000016,school,5j9iuo3tMmQIfnEEQOOjxh
1000016,school,4eLSCSELtKxZwXnFbNLXT5
1000040,bbq,3ik1fFvzdgmVuiob8t8NlG
1000040,bbq,05BJQUM4bATKGFheqrC6CW
1000040,bbq,0rfGRC3ng0dxu0xZ3f1bWc
1000040,bbq,1azvKxDb5Vkph2KR7aq1Cx
1000040,bbq,1Gsv8f8KmowkF5BnfMIGKy
1000052,dank,6koWevx9MqN6efQ6qreIbm
1000052,dank,2F46y5zSlBKOqco0k8xQAM
1000052,dank,00YnfZzpODxlE6nNwfPCbv
1000052,dank,3PiyMOuCTB4Rc624hRr2rC
1000052,dank,6IE47jpPeatF2Iay7GZtEc
1000068,Dance,6BOtDFg6GJm0rPUDuNmx57
1000068,Dance,6F609ICg9Spjrw1epsAnpa
1000068,Dance,14WWzenpaEgQZlqPq2nk4v
1000068,Dance,1xznGGDReH1oQq0xzbwXa3
1000068,Dance,1vxw6aYJls2oq3gW0DujAo
1000084,Oldies,0wz1LjDb9ZNEYwOmDJ3Q4b
1000084,Oldies,1AJ5F0FMTC3yFU3ocjy1gE
1000084,Oldies,75WMOzv7195ziyx0qEw1yE
1000084,Oldies,62fX8EW16l8St2yL8rMer9
1000084,Oldies,6RrXd9Hph4hYR4bf3dbM6H
1000104,Kpop,2OUCEz0B8chI3FcqloinyN
1000104,Kpop,6TlJFqjUFZWqIxUPrEbhA9
1000104,Kpop,3GdvlmQ8GgfFokp1hpdRJ2
1000104,Kpop,5mMbZffWy78SCQ0wlKKVot
1000104,Kpop,6c1cQOxDKZhnfu19rclv6G
1000105,Halloween,0rULKUSGyvvGoAbZ1ySRPt
1000105,Halloween,7i75KH4bMsIVeC5ts8EodH
1000105,Halloween,2Z3ZqLsK5YxY756378DOEM
1000105,Halloween,3RzUkUattGuBLwpb8QgiOf
1000105,Halloween,1yEVIffZb0jAFoKvDnspFx
1000111,Romanticas,28Ct4qwkQXY2W5yyNCLuVI
1000111,Romanticas,5EhzE6HJaCcLFrf5rPqvpk
1000111,Romanticas,5Jhvo7ePEJJYoExxQK8MWs
1000111,Romanticas,1hCswNajdTPRtuggsGtpCX
